PID,keywords,mods.grants,mods.abstract,fgs.state,dc.title,dc.language,mods.sm_key_words,fgs.lastModifiedDate,mods.sm_collection,mods.language,mods.title,mods.sm_report_number,dc.subject,mods.sm_corporate_creator,rdf.isOpenAccess,mods.origin,dc.description,mods.raw_date,mods.sm_format,mods.sm_oclc_number,rdf.redirectsTo,mods.sm_geographical_coverage,mods.subject_topic,fgs.createdDate,mods.sm_ntl_classification,mods.sm_resource_type,mods.sm_edition,mods.sm_corporate_publisher,DS1.mimetype_txt_en,DS1.label_txt_en,DS1.filesize_tl,DS1.checksum_txt_en,mods.ss_publishyear,fgs.ownerId,rdf.isMemberOf,dc.identifier,mods.sm_creator,fgs.label,rdf.isPeerTo,mods.sm_digital_object_identifier,mods.ss_jobid,DS2.mimetype_txt_en,DS2.label_txt_en,DS2.filesize_tl,DS2.checksum_txt_en,DS2.sourceurl,dc.publisher,dc.format,dc.type,dc.creator,dc.coverage,DS1.sourceurl,mods.orcidId,mods.sm_contributor,dc.contributor,mods.alt_title,mods.note,mods.sm_corporate_contributor,DS_EXCEL.mimetype_txt_en,DS_EXCEL.label_txt_en,DS_EXCEL.filesize_tl,DS_EXCEL.checksum_txt_en,mods.sm_contracting_officer,DS3.mimetype_txt_en,DS3.label_txt_en,DS3.filesize_tl,DS3.checksum_txt_en,DS3.sourceurl,DS4.mimetype_txt_en,DS4.label_txt_en,DS4.filesize_tl,DS4.checksum_txt_en,DS4.sourceurl,mods.sm_alternate_url,mods.table_of_contents,rdf.underCategory,rdf.hasOrder,rdf.isCollection,rdf.categoryOrder,rdf.isFeaturedCollection,mods.sm_rights_statement,mods.related_series,DS_MS_NON_EXCEL.mimetype_txt_en,DS_MS_NON_EXCEL.label_txt_en,DS_MS_NON_EXCEL.filesize_tl,DS_MS_NON_EXCEL.checksum_txt_en,mods.sm_tris_online_accession_number,rdf.hasExternalLink,rdf.hasMoreDocuments,DS5.mimetype_txt_en,DS5.label_txt_en,DS5.filesize_tl,DS5.checksum_txt_en,DS5.sourceurl,DS10.mimetype_txt_en,DS10.label_txt_en,DS10.filesize_tl,DS10.checksum_txt_en,DS10.sourceurl,DS11.mimetype_txt_en,DS11.label_txt_en,DS11.filesize_tl,DS11.checksum_txt_en,DS11.sourceurl,DS12.mimetype_txt_en,DS12.label_txt_en,DS12.filesize_tl,DS12.checksum_txt_en,DS12.sourceurl,DS13.mimetype_txt_en,DS13.label_txt_en,DS13.filesize_tl,DS13.checksum_txt_en,DS13.sourceurl,DS14.mimetype_txt_en,DS14.label_txt_en,DS14.filesize_tl,DS14.checksum_txt_en,DS14.sourceurl,DS15.mimetype_txt_en,DS15.label_txt_en,DS15.filesize_tl,DS15.checksum_txt_en,DS15.sourceurl,DS16.mimetype_txt_en,DS16.label_txt_en,DS16.filesize_tl,DS16.checksum_txt_en,DS16.sourceurl,DS17.mimetype_txt_en,DS17.label_txt_en,DS17.filesize_tl,DS17.checksum_txt_en,DS17.sourceurl,DS18.mimetype_txt_en,DS18.label_txt_en,DS18.filesize_tl,DS18.checksum_txt_en,DS18.sourceurl,DS6.mimetype_txt_en,DS6.label_txt_en,DS6.filesize_tl,DS6.checksum_txt_en,DS6.sourceurl,DS7.mimetype_txt_en,DS7.label_txt_en,DS7.filesize_tl,DS7.checksum_txt_en,DS7.sourceurl,DS8.mimetype_txt_en,DS8.label_txt_en,DS8.filesize_tl,DS8.checksum_txt_en,DS8.sourceurl,DS9.mimetype_txt_en,DS9.label_txt_en,DS9.filesize_tl,DS9.checksum_txt_en,DS9.sourceurl,DS_MS_NON_EXCEL.sourceurl,rdf.isSpotlightChild,rdf.isSupersededBy,mods.sm_isbn,mods.sm_issn,mods.physical_description,mods.sm_copyright_date,mods.sm_publisher,rdf.isGRFeaturedChild,rdf.isFeatured,rdf.featuredType,rdf.inSpotlight,rdf.featuredUrl,rdf.isGRFeatured,dc.rights,rdf.featuredPosition,rdf.featuredPositionTemp,DS19.mimetype_txt_en,DS19.label_txt_en,DS19.filesize_tl,DS19.checksum_txt_en,DS19.sourceurl,DS20.mimetype_txt_en,DS20.label_txt_en,DS20.filesize_tl,DS20.checksum_txt_en,DS20.sourceurl,DS21.mimetype_txt_en,DS21.label_txt_en,DS21.filesize_tl,DS21.checksum_txt_en,DS21.sourceurl,DS22.mimetype_txt_en,DS22.label_txt_en,DS22.filesize_tl,DS22.checksum_txt_en,DS22.sourceurl,DS23.mimetype_txt_en,DS23.label_txt_en,DS23.filesize_tl,DS23.checksum_txt_en,DS23.sourceurl,DS24.mimetype_txt_en,DS24.label_txt_en,DS24.filesize_tl,DS24.checksum_txt_en,DS24.sourceurl,DS25.mimetype_txt_en,DS25.label_txt_en,DS25.filesize_tl,DS25.checksum_txt_en,DS25.sourceurl,DS26.mimetype_txt_en,DS26.label_txt_en,DS26.filesize_tl,DS26.checksum_txt_en,DS26.sourceurl,DS27.mimetype_txt_en,DS27.label_txt_en,DS27.filesize_tl,DS27.checksum_txt_en,DS27.sourceurl,DS28.mimetype_txt_en,DS28.label_txt_en,DS28.filesize_tl,DS28.checksum_txt_en,DS28.sourceurl,DS29.mimetype_txt_en,DS29.label_txt_en,DS29.filesize_tl,DS29.checksum_txt_en,DS29.sourceurl,DS30.mimetype_txt_en,DS30.label_txt_en,DS30.filesize_tl,DS30.checksum_txt_en,DS30.sourceurl,DS31.mimetype_txt_en,DS31.label_txt_en,DS31.filesize_tl,DS31.checksum_txt_en,DS31.sourceurl,DS32.mimetype_txt_en,DS32.label_txt_en,DS32.filesize_tl,DS32.checksum_txt_en,DS32.sourceurl,DS33.mimetype_txt_en,DS33.label_txt_en,DS33.filesize_tl,DS33.checksum_txt_en,DS33.sourceurl,DS34.mimetype_txt_en,DS34.label_txt_en,DS34.filesize_tl,DS34.checksum_txt_en,DS34.sourceurl,rdf.quickLinkUrl,rdf.isQuickLink,rdf.underSection,DS_EXCEL.sourceurl,mods.embargo_date,rdf.hasDataset,rdf.hasPublication,mods.ss_keyvalue,mods.sm_researchhub_id,dc.date,dc.source,dc.identifier.uri,dc.contributor.author,dc.contributor.collaborator,dc.coverage.spatial,dc.contributor.creator,dc.relation.isPartOf,dc.description.abstract,dc.rights.accessRights,dc.relation.isVersionOf,dc.contributor.consultant,dc.description.tableOfContents,dc.title.alternative,DS1.checksumsha256_txt_en,rdf.hasMultipleLanguage,DS2.checksumsha256_txt_en,DS3.checksumsha256_txt_en,DS4.checksumsha256_txt_en,DS5.checksumsha256_txt_en,DS6.checksumsha256_txt_en,DS7.checksumsha256_txt_en,mods.ss_hasQLOrder,DS_MS_NON_EXCEL.checksumsha256_txt_en,dc.relation.isReferencedBy,DS10.checksumsha256_txt_en,DS11.checksumsha256_txt_en,DS12.checksumsha256_txt_en,DS13.checksumsha256_txt_en,DS14.checksumsha256_txt_en,DS15.checksumsha256_txt_en,DS16.checksumsha256_txt_en,DS17.checksumsha256_txt_en,DS18.checksumsha256_txt_en,DS8.checksumsha256_txt_en,DS9.checksumsha256_txt_en
dot:43008,,,,Active,Use of Forecasts in Highway Management,English,"Infrastructure,Transportation,Planning,Highway planning",2021-11-10T13:25:41.202Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Use of Forecasts in Highway Management,,,,true,"1940-01-09; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505496,1940,PDF,Presentations,Fairbank\, Herbert S,Federal Highway Administration,Infrastructure,Transportation,Planning,Highway planning,1197",1940-01-09,PDF,,,,,2019-12-19T16:24:18.011Z,,Presentations,,Federal Highway Administration,application/pdf,1939-1941-010.PDF,947616,urn:sha256:2eaccd73f119c828d9d8a143f4cd27343d79168e410f2ea0fb1b469250cc511f,1940,,dot:42737,,"Fairbank\, Herbert S",,,https://doi.org/10.21949/1505496,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68100/68144/1939-1941-010.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43472,,,,Active,Housing Developments and Express Highways,English,"Highways,Highway planning",2021-11-10T13:29:43.665Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Housing Developments and Express Highways,,,,true,"1945-01-11; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505960,1945,PDF,Presentations,MacDonald\, Thos. H,Federal Highway Administration,Highways,Highway planning,1197",1945-01-11,PDF,,,,,2019-12-19T16:34:11.461Z,,Presentations,,Federal Highway Administration,application/pdf,V12-012.pdf,2751717,urn:sha256:937afbc909a6d8d55a29c40c041cff68074c1a950f058d13297840504d562fca,1945,,dot:42737,,"MacDonald\, Thos. H",,,https://doi.org/10.21949/1505960,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68600/68608/V12-012.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43087,,,,Active,Stretchout Distresses Road Men,English,"Highway planning,Federal aid,Costs,Policy",2021-11-10T13:26:24.221Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Stretchout Distresses Road Men,,,,true,"1965-07-29; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505575,1965,PDF,Journal Article,Turner\, Francis C,Federal Highway Administration,Highway planning,Federal aid,Costs,Policy,1197",1965-07-29,PDF,,,,,2019-12-19T16:25:55.096Z,,Journal Article,,Federal Highway Administration,application/pdf,1947-67-024.PDF,186114,urn:sha256:1910117021eef51c23ffa5cf0b2ba7d2d0cdc992da97cb45ea4fd93fbab5eda2,1965,,dot:42737,,"Turner\, Francis C",,,https://doi.org/10.21949/1505575,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68200/68223/1947-67-024.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43188,,,,Active,Ours Is a Nation of Builders,English,"Government agencies,Policy,Highway planning",2021-11-10T13:27:16.162Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Ours Is a Nation of Builders,,,,true,"1970-01-01; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505676,1970,PDF,Presentations,Turner\, Francis C,Federal Highway Administration,Government agencies,Policy,Highway planning,1197",1970-01-01,PDF,,,,,2019-12-19T16:27:59.827Z,,Presentations,,Federal Highway Administration,application/pdf,1970-71-004.PDF,100916,urn:sha256:83d2b02fda4f3248cb0ecc6d5e25eaf2aa70b30b78b549dc01cc9781bca5c72e,1970,,dot:42737,,"Turner\, Francis C",,,https://doi.org/10.21949/1505676,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68300/68324/1970-71-004.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43360,,,,Active,Highway Building with Particular Reference to the Federal Employment Program,English,"Highways,Federal aid,Policy",2021-11-10T13:28:45.450Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Highway Building with Particular Reference to the Federal Employment Program,,,,true,"1931-01-12; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505848,1931,PDF,Presentations,MacDonald\, Thos. H,Federal Highway Administration,Highways,Federal aid,Policy,1197",1931-01-12,PDF,,,,,2019-12-19T16:31:48.981Z,,Presentations,,Federal Highway Administration,application/pdf,V7-014.pdf,721114,urn:sha256:8739af79c9af4cc84cfdeadd24921d69fdf81c984e0587734ffe44992e2902fd,1931,,dot:42737,,"MacDonald\, Thos. H",,,https://doi.org/10.21949/1505848,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68400/68496/V7-014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43208,,,,Active,Pioneers in Transportation Planning,English,"Highway planning,Highway design,History",2021-11-10T13:27:26.604Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Pioneers in Transportation Planning,,,,true,"1970-04-21; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505696,1970,PDF,Presentations,Turner\, Francis C,Federal Highway Administration,Highway planning,Highway design,History,1197",1970-04-21,PDF,,,,,2019-12-19T16:28:26.241Z,,Presentations,,Federal Highway Administration,application/pdf,1970-71-024.PDF,77703,urn:sha256:6f404b12b906fa65da40549950db686da028bd3ad548d66eb2ddfae47bbe7afc,1970,,dot:42737,,"Turner\, Francis C",,,https://doi.org/10.21949/1505696,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68300/68344/1970-71-024.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43038,,,,Active,Highway Needs of Expanding Urban Areas,English,"Planning,Highway planning",2021-11-10T13:25:56.656Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Highway Needs of Expanding Urban Areas,,,,true,"1948-10-13; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505526,1948,PDF,Presentations,Fairbank\, Herbert S,Federal Highway Administration,Planning,Highway planning,1197",1948-10-13,PDF,,,,,2019-12-19T16:24:54.925Z,,Presentations,,Federal Highway Administration,application/pdf,1942-1948-026.PDF,524010,urn:sha256:4b54b89878bfd4b32bf1cd0ecb78efcf1c6e7451634095168870cfb4fb3cd1fc,1948,,dot:42737,,"Fairbank\, Herbert S",,,https://doi.org/10.21949/1505526,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68100/68174/1942-1948-026.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43445,,,,Active,Highways and the National Defense,English,"Military transportation,Highway planning,Improvements",2021-11-10T13:29:29.339Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Highways and the National Defense,,,,true,"1940-09-16; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505933,1940,PDF,Presentations,MacDonald\, Thos. H,Federal Highway Administration,Military transportation,Highway planning,Improvements,1197",1940-09-16,PDF,,,,,2019-12-19T16:33:38.869Z,,Presentations,,Federal Highway Administration,application/pdf,V11-003.pdf,912491,urn:sha256:81ba44c67f0c00d4b77e0fdbc5839e87e0b9f99069834540234e8d901b1e1247,1940,,dot:42737,,"MacDonald\, Thos. H",,,https://doi.org/10.21949/1505933,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68500/68581/V11-003.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43162,,,,Active,Current Governmental Policies for Utilizing Joint Development and Multiple Use of Highway Rights-of-Way Projects,English,"Highway planning,Highway design,Government agencies,Policy",2021-11-10T13:27:02.737Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,Current Governmental Policies for Utilizing Joint Development and Multiple Use of Highway Rights-of-Way Projects,,,,true,"1968-11-15; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505650,1968,PDF,Presentations,Turner\, Francis C,Federal Highway Administration,Highway planning,Highway design,Government agencies,Policy,1197",1968-11-15,PDF,,,,,2019-12-19T16:27:29.301Z,,Presentations,,Federal Highway Administration,application/pdf,1968-69-028.PDF,392461,urn:sha256:915c094ec5b840832adaa2981b046c0c7ac616356d818dc4260bae90415589e7,1968,,dot:42737,,"Turner\, Francis C",,,https://doi.org/10.21949/1505650,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68200/68298/1968-69-028.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:43182,,,,Active,"Highways [Presented at American Public Works Association General Session on Federal Aid]\, and ""Turner Applauds IRF Achievements""",English,"Government agencies,Legislation,Policy,Highway planning",2021-11-10T13:27:13.066Z,Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,English,"Highways [Presented at American Public Works Association General Session on Federal Aid], and ""Turner Applauds IRF Achievements""",,,,true,"1969-10-01; \,","Papers By H.S. Fairbank - Frank Turner - T.H. Macdonald - FTMPAPERS,https://doi.org/10.21949/1505670,1969,PDF,Journal Article,Turner\, Francis C,Federal Highway Administration,Government agencies,Legislation,Policy,Highway planning,1197",1969-10-01,PDF,,,,,2019-12-19T16:27:52.560Z,,Journal Article,,Federal Highway Administration,application/pdf,1968-69-049.PDF,586403,urn:sha256:210288cbf49e4bb0a4e4f93c8ece783cd1fce5aac9b8aec31ced0973f74646e8,1969,,dot:42737,,"Turner\, Francis C",,,https://doi.org/10.21949/1505670,1197,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/68000/68300/68318/1968-69-049.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
